rank, p, n, total, time/gen, comm/gen, comp/gen, display/gen, comm/display, sendrecv/gen, barrier/gen
5, 8, 16, 17.712000, 0.177120, 0.173610, 0.003510, 0.000230, 0.011500, 0.021900, 0.151710
6, 8, 16, 16.119000, 0.161190, 0.157510, 0.003680, 0.000220, 0.011000, 0.019310, 0.138200
0, 8, 32, 33.660000, 0.336600, 0.327770, 0.008830, 0.075030, 0.161500, 0.284450, 0.043320
2, 8, 32, 46.360000, 0.463600, 0.455380, 0.008220, 0.000070, 0.003500, 0.042900, 0.412480
6, 8, 32, 43.051000, 0.430510, 0.418560, 0.011950, 0.000180, 0.008500, 0.021940, 0.396620
4, 8, 32, 46.346000, 0.463460, 0.451210, 0.012250, 0.000180, 0.009000, 0.256780, 0.194430
3, 8, 32, 46.367000, 0.463670, 0.456270, 0.007400, 0.000080, 0.003000, 0.146600, 0.309670
1, 8, 32, 46.370000, 0.463700, 0.454410, 0.009290, 0.000110, 0.005000, 0.130460, 0.323950
5, 8, 32, 44.632000, 0.446320, 0.433970, 0.012350, 0.000180, 0.009000, 0.023040, 0.410930
7, 8, 32, 41.400000, 0.414000, 0.401630, 0.012370, 0.000170, 0.008500, 0.201680, 0.199950
1, 8, 64, 52.567000, 0.525670, 0.497220, 0.028450, 0.000120, 0.006000, 0.180060, 0.317160
4, 8, 64, 52.505000, 0.525050, 0.470720, 0.054330, 0.000140, 0.007000, 0.277540, 0.193180
3, 8, 64, 52.568000, 0.525680, 0.495050, 0.030630, 0.000070, 0.003500, 0.140730, 0.354320
2, 8, 64, 52.572000, 0.525720, 0.495720, 0.030000, 0.000090, 0.004500, 0.001360, 0.494360
5, 8, 64, 50.721000, 0.507210, 0.453900, 0.053310, 0.000220, 0.011000, 0.023760, 0.430140
0, 8, 64, 34.930000, 0.349300, 0.320220, 0.029080, 0.124700, 0.323000, 0.257280, 0.062940
7, 8, 64, 47.327000, 0.473270, 0.419500, 0.053770, 0.000160, 0.008000, 0.272990, 0.146510
6, 8, 64, 48.958000, 0.489580, 0.434220, 0.055360, 0.000240, 0.011500, 0.018260, 0.415960
0, 8, 128, 52.411000, 0.524110, 0.414290, 0.109820, 0.397780, 0.877000, 0.284570, 0.129720
1, 8, 128, 96.751000, 0.967510, 0.860840, 0.106670, 0.000040, 0.001500, 0.446480, 0.414360
2, 8, 128, 96.749000, 0.967490, 0.859900, 0.107590, 0.000030, 0.001500, 0.001800, 0.858100
3, 8, 128, 96.729000, 0.967290, 0.849550, 0.117740, 0.000030, 0.001500, 0.157760, 0.691790
6, 8, 128, 93.335000, 0.933350, 0.712140, 0.221210, 0.000260, 0.012500, 0.014980, 0.697160
4, 8, 128, 96.660000, 0.966600, 0.760390, 0.206210, 0.000200, 0.010000, 0.317680, 0.442710
5, 8, 128, 94.807000, 0.948070, 0.748920, 0.199150, 0.000320, 0.016000, 0.021430, 0.727490
7, 8, 128, 92.048000, 0.920480, 0.722450, 0.198030, 0.000260, 0.012500, 0.566350, 0.156100
1, 8, 256, 265.303000, 2.653030, 2.199390, 0.453640, 0.000110, 0.005500, 1.468320, 0.731070
3, 8, 256, 265.406000, 2.654060, 2.224900, 0.429160, 0.000100, 0.005000, 0.201670, 2.023230
2, 8, 256, 265.406000, 2.654060, 2.237090, 0.416970, 0.000110, 0.005500, 0.002420, 2.234670
6, 8, 256, 262.210000, 2.622100, 1.818050, 0.804050, 0.000660, 0.033000, 0.016640, 1.801410
0, 8, 256, 118.791000, 1.187910, 0.765150, 0.422760, 1.423960, 3.019000, 0.324670, 0.440480
5, 8, 256, 263.558000, 2.635580, 1.806080, 0.829500, 0.000490, 0.024000, 0.019830, 1.786250
7, 8, 256, 260.952000, 2.609520, 1.805830, 0.803690, 0.000350, 0.017500, 1.622120, 0.183710
4, 8, 256, 265.125000, 2.651250, 1.805010, 0.846240, 0.000530, 0.026000, 0.399590, 1.405420
0, 8, 512, 400.755000, 4.007550, 2.284740, 1.722810, 5.129410, 11.413500, 0.413460, 1.871280
1, 8, 512, 919.250000, 9.192500, 7.483900, 1.708600, 0.000250, 0.012500, 5.188720, 2.295180
4, 8, 512, 919.106000, 9.191060, 6.010740, 3.180320, 0.001040, 0.051500, 0.519540, 5.491200
2, 8, 512, 919.259000, 9.192590, 7.467260, 1.725330, 0.000260, 0.013000, 0.004010, 7.463250
